id_vaga,job_role,inf_titulo_vaga,inf_cliente,inf_vaga_sap,perfil_nivel_academico,perfil_nivel profissional,perfil_nivel_ingles,perfil_nivel_espanhol,perfil_competencia_tecnicas_e_comportamentais,perfil_principais_atividades,Resumo_ia,resumo
5183,Engenheiro/Analista de Dados,ANALISTA PL/JR C/ SQL,"Morris, Moran and Dodson",Não,Ensino Superior Completo,Analista,Nenhum,Intermediário,"Requisitos mandatórios:
 
 o Conhecimentos Técnicos: Conhecimento SQL, e algum conhecimento de SAP SD
 o Competências Interpessoais: Relacionamento interpessoal, foco no cliente, trabalho em equipe, excelente
 comunicação, e adaptabilidade.
 
 Requisitos desejáveis:
 o Idiomas: Espanhol nível intermediário.","Descrição – Atividades:
 
 o Monitoramento das interfaces KDP
 o Monitoramento sistema B2B durante o dia
 o Monitoramento do Whatsapp durante o dia
 o Monitoramento da subida de pedidos (KDP, WAE e B2B)
 o Suporte para equipe comercial quando tem problemas em algum cliente no WAE
 o Suporte Aplicativo Pitcher (Projeto Promotores).
 o Suporte no grupo whatsapp KDP, para vendedores e executivos
 o Atendimento da fila de chamados SM9 do grupo KDP
 o Validação das listas de visitas de C4C toda quinta e sexta
 o Garantir que as necessidades dos clientes sejam atendidas à medida que o projeto evolui",SIM,"A vaga para Engenheiro/Analista de Dados (Nível Analista) exige ensino superior completo e conhecimento mandatório em SQL e SAP SD. O profissional deve demonstrar excelentes habilidades interpessoais, foco no cliente, trabalho em equipe, comunicação e adaptabilidade. Espanhol intermediário é desejável. As responsabilidades centrais incluem o monitoramento contínuo de interfaces (KDP, B2B, WhatsApp) e da subida de pedidos. O papel é crucial no suporte à equipe comercial e a aplicativos como Pitcher, gerenciando chamados SM9, fornecendo suporte via WhatsApp a vendedores e executivos, validando listas de visitas C4C e garantindo a satisfação das necessidades dos clientes ao longo dos projetos."
5170,Engenheiro/Analista de Dados,DBA SQL-Wolks,Barnes-Woods,Não,Ensino Médio Completo,Sênior,Nenhum,Fluente,"desc, email","desc, email",SIM,"A vaga de Engenheiro/Analista de Dados (Id_Vaga: 5170) procura um profissional de nível Sênior. Os candidatos devem possuir Ensino Médio Completo e fluência em Espanhol, sendo que o conhecimento de Inglês não é um requisito. As competências técnicas e comportamentais essenciais, assim como as principais atividades, foram especificadas como 'desc' (podendo indicar análise descritiva, documentação ou descrição de processos) e 'email' (referindo-se a comunicação profissional). Esta posição é ideal para um especialista em dados com perfil sênior e forte domínio do idioma Espanhol, focado em tarefas de análise e comunicação."
4998,Engenheiro/Analista de Dados,Application Dev - C# SQL - 11845429,"Wade, Bernard and Bailey",Não,Ensino Superior Completo,Analista,Básico,Básico,"Local de Trabalho: São Paulo
 
 Design, build and configure applications to meet business process andapplication requirements.
 Primary Skill .NET Programming","Local de Trabalho: São Paulo
 
 Design, build and configure applications to meet business process andapplication requirements.
 Primary Skill .NET Programming",SIM,"A vaga de Engenheiro/Analista de Dados (ID 4998) é para um profissional de nível Analista com Ensino Superior Completo, baseado em São Paulo. A principal habilidade técnica exigida é programação .NET, focando no design, construção e configuração de aplicações para atender aos requisitos de processos de negócio. O candidato será responsável por desenvolver e configurar soluções de software. Conhecimentos básicos de inglês e espanhol são necessários para a função."
6702,Engenheiro/Analista de Dados,Oracle Data Relationship - 12268209,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,Outros detalhes do trabalho: 1 - Data Science (P4 - Expert) | 2 - Data Strategy (P4 - Expert) | 3 - Big Data Analytics (P1 - Beginner),"Data Analytics and Interpretation - Oracle Data Relationship Management (DRM) is an enterprise change management solution for building and retaining consistency within master data assets despite endless changes necessary to support underlying transactional and analytical systems.
 
 Análise e Interpretação de Dados - O DRM (Oracle Data Relationship Management, gerenciamento de relacionamento de dados) é uma solução de gerenciamento de mudanças corporativas para a construção e retenção de consistência dentro de ativos de dados mestres, apesar de infinitas mudanças necessárias para suportar sistemas transacionais e analíticos subjacentes.
 
 Horário: das 8 às 17hs",SIM,"Esta vaga para Engenheiro/Analista de Dados (Nível Analista) requer Ensino Superior Completo. O foco principal é a Análise e Interpretação de Dados, com ênfase na gestão e manutenção da consistência de dados mestres utilizando a solução Oracle Data Relationship Management (DRM). As competências técnicas essenciais incluem expertise em Data Science e Data Strategy (ambas nível P4 - Expert), além de conhecimentos básicos em Big Data Analytics (nível P1 - Beginner). Horário de trabalho das 8h às 17h."
6256,Engenheiro/Analista de Dados,4448285 - Engenheiro de Dados,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Engenheiro de Dados,Engenheiro de Dados,SIM,"A vaga 6256 é destinada a um profissional Sênior para atuar como Engenheiro/Analista de Dados. Os candidatos devem possuir Ensino Superior Completo e demonstrar forte competência técnica e comportamental em Engenharia de Dados, que será a principal atividade da função. Não há requisitos de proficiência em inglês ou espanhol, tornando esta uma excelente oportunidade para especialistas em dados com foco no mercado local. O profissional será responsável por todas as tarefas inerentes à engenharia de dados, garantindo a infraestrutura e o fluxo de dados necessários."
6190,Engenheiro/Analista de Dados,4448260 - DATA LAKE,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,DATA LAKE,DATA LAKE,SIM,A vaga de número 6190 procura um profissional Sênior para atuar como Engenheiro/Analista de Dados. É essencial possuir Ensino Superior Completo e ter como principal competência técnica e foco de atividade a expertise em Data Lake. Não há exigência de conhecimento nos idiomas inglês ou espanhol para esta posição.
6187,Engenheiro/Analista de Dados,4448289 - Engenheiro de DAdos,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Engenheiro de DAdos,Engenheiro de DAdos,SIM,"Esta é uma vaga para Engenheiro/Analista de Dados de nível sênior (Id_Vaga: 6187), exigindo ensino superior completo. O profissional será responsável por atuar principalmente como Engenheiro de Dados, sendo esta a competência técnica e a atividade principal esperada. Conhecimento em inglês ou espanhol não é um requisito."
6186,Engenheiro/Analista de Dados,4378406 - Engenheiro de Dados,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Engenheiro de Dados,Engenheiro de Dados,SIM,"Esta vaga busca um profissional Sênior para a posição de Engenheiro/Analista de Dados (ID 6186). O perfil exige Ensino Superior Completo e vasta experiência em Engenharia de Dados, que será a principal atividade e competência técnica e comportamental esperada. Não há requisitos de proficiência em inglês ou espanhol para esta posição."
6184,Engenheiro/Analista de Dados,4486646 - Programador PL/SQL Senior,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Programador PL/SQL Senior,Programador PL/SQL Senior,SIM,A vaga 6184 para Engenheiro/Analista de Dados busca um profissional Sênior com Ensino Superior Completo. O foco principal da posição e a competência técnica mandatória é a atuação como Programador PL/SQL Sênior. As atividades diárias e o perfil desejado giram em torno da programação PL/SQL avançada. Não é exigido conhecimento de idiomas como inglês ou espanhol para esta função.
6181,Engenheiro/Analista de Dados,Data & AI - 12140250,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Descrição/Comentário: Oracle Financial Consolidation and Close - Lead the effort to design, build and configure applications, acting as the primary point of contact.","Descrição/Comentário: Oracle Financial Consolidation and Close - Lead the effort to design, build and configure applications, acting as the primary point of contact.",SIM,"A vaga 6181 busca um Engenheiro/Analista de Dados com Ensino Superior Completo e experiência no nível Analista. É necessário ter conhecimentos básicos em Inglês e Espanhol. A principal responsabilidade envolve liderar o design, a construção e a configuração de aplicações Oracle Financial Consolidation and Close (FCC), atuando como ponto de contato principal para todas as atividades relacionadas ao projeto."
